id,code,name,flag
1,NT,NOT,
2,UI,Unidentified,
3,DX,DAO,
4,AF,Afghanistan,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/AF-flag.gif
5,AL,Albania,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/AL-flag.gif
6,AG,Algeria,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/AG-flag.gif
7,AQ,American Samoa,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/AQ-flag.gif
8,AN,Andorra,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/AN-flag.gif
9,AO,Angola,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/AO-flag.gif
10,AC,Antigua and Barbuda,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/AC-flag.gif
11,AR,Argentina,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/AR-flag.gif
12,AM,Armenia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/AM-flag.gif
13,AA,Aruba,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/AA-flag.gif
14,AS,Australia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/AS-flag.gif
15,AU,Austria,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/AU-flag.gif
16,AJ,Azerbaijan,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/AJ-flag.gif
17,BA,Bahrain,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BA-flag.gif
18,BG,Bangladesh,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BG-flag.gif
19,BB,Barbados,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BB-flag.gif
20,BO,Belarus,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BO-flag.gif
21,BE,Belgium,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BE-flag.gif
22,BH,Belize,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BH-flag.gif
23,BN,Benin,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BN-flag.gif
24,BD,Bermuda,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BD-flag.gif
25,BT,Bhutan,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BT-flag.gif
26,BL,Bolivia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BL-flag.gif
27,BK,Bosnia and Herzegovina,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BK-flag.gif
28,BC,Botswana,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BC-flag.gif
29,BR,Brazil,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BR-flag.gif
30,VI,British Virgin Islands,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/VI-flag.gif
31,BX,Brunei,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BX-flag.gif
32,BU,Bulgaria,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BU-flag.gif
33,UV,Burkina Faso,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/UV-flag.gif
34,BM,Burma,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BM-flag.gif
35,BY,Burundi,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BY-flag.gif
36,CV,Cabo Verde,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/CV-flag.gif
37,CB,Cambodia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/CB-flag.gif
38,CM,Cameroon,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/CM-flag.gif
39,CA,Canada,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/CA-flag.gif
40,CJ,Cayman Islands,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/CJ-flag.gif
41,CT,Central African Republic,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/CT-flag.gif
42,CD,Chad,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/CD-flag.gif
43,CI,Chile,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/CI-flag.gif
44,CH,China,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/CH-flag.gif
45,CO,Colombia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/CO-flag.gif
46,CN,Comoros,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/CN-flag.gif
47,CW,Cook Islands,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/CW-flag.gif
48,CS,Costa Rica,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/CS-flag.gif
49,IV,Cote D'Ivoire,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/IV-flag.gif
50,HR,Croatia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/HR-flag.gif
51,CU,Cuba,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/CU-flag.gif
52,UC,Curacao,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/UC-flag.gif
53,CY,Cyprus,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/CY-flag.gif
54,EZ,Czechia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/EZ-flag.gif
55,CG,Democratic Republic of the Congo,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/CG-flag.gif
56,DA,Denmark,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/DA-flag.gif
57,DJ,Djibouti,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/DJ-flag.gif
58,DO,Dominica,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/DO-flag.gif
59,DR,Dominican Republic,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/DR-flag.gif
60,EC,Ecuador,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/EC-flag.gif
61,EG,Egypt,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/EG-flag.gif
62,ES,El Salvador,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/ES-flag.gif
63,EK,Equatorial Guinea,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/EK-flag.gif
64,ER,Eritrea,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/ER-flag.gif
65,EN,Estonia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/EN-flag.gif
66,WZ,Eswatini,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/WZ-flag.gif
67,ET,Ethiopia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/ET-flag.gif
68,FK,Falkland Islands (Islas Malvinas),https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/FK-flag.gif
69,FO,Faroe Islands,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/FO-flag.gif
70,FM,Federated States of Micronesia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/FM-flag.gif
71,FJ,Fiji,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/FJ-flag.gif
72,FI,Finland,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/FI-flag.gif
73,FR,France,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/FR-flag.gif
74,FP,French Polynesia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/FP-flag.gif
75,GB,Gabon,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/GB-flag.gif
76,GA,Gambia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/GA-flag.gif
77,GG,Georgia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/GG-flag.gif
78,GM,Germany,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/GM-flag.gif
79,GH,Ghana,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/GH-flag.gif
80,GI,Gibraltar,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/GI-flag.gif
81,GR,Greece,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/GR-flag.gif
82,GL,Greenland,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/GL-flag.gif
83,GJ,Grenada,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/GJ-flag.gif
84,GQ,Guam,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/GQ-flag.gif
85,GT,Guatemala,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/GT-flag.gif
86,GV,Guinea,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/GV-flag.gif
87,PU,Guinea-Bissau,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/PU-flag.gif
88,GY,Guyana,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/GY-flag.gif
89,HA,Haiti,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/HA-flag.gif
90,HO,Honduras,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/HO-flag.gif
91,HK,Hong Kong,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/HK-flag.gif
92,HU,Hungary,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/HU-flag.gif
93,IC,Iceland,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/IC-flag.gif
94,IN,India,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/IN-flag.gif
95,ID,Indonesia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/ID-flag.gif
96,IR,Iran,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/IR-flag.gif
97,IZ,Iraq,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/IZ-flag.gif
98,EI,Ireland,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/EI-flag.gif
99,IS,Israel,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/IS-flag.gif
100,IT,Italy,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/IT-flag.gif
101,JM,Jamaica,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/JM-flag.gif
102,JA,Japan,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/JA-flag.gif
103,JE,Jersey,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/JE-flag.gif
104,JO,Jordan,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/JO-flag.gif
105,KZ,Kazakhstan,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/KZ-flag.gif
106,KE,Kenya,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/KE-flag.gif
107,KR,Kiribati,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/KR-flag.gif
108,KV,Kosovo,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/KV-flag.gif
109,KU,Kuwait,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/KU-flag.gif
110,KG,Kyrgyzstan,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/KG-flag.gif
111,LA,Laos,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/LA-flag.gif
112,LG,Latvia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/LG-flag.gif
113,LE,Lebanon,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/LE-flag.gif
114,LT,Lesotho,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/LT-flag.gif
115,LI,Liberia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/LI-flag.gif
116,LY,Libya,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/LY-flag.gif
117,LS,Liechtenstein,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/LS-flag.gif
118,LH,Lithuania,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/LH-flag.gif
119,LU,Luxembourg,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/LU-flag.gif
120,MC,Macau,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MC-flag.gif
121,MK,Macedonia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MK-flag.gif
122,MA,Madagascar,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MA-flag.gif
123,MI,Malawi,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/MI-flag.gif
