id,name,edate,ctype,twitter,link,incdate,incnum,cdate,creason,creasonx,ophqcity,ophq,leghqcity,leghq,arbjur,cryptonative,classifier,description,fte,verified,comments
10000,"2017-10-01:""previous name"";
2019-01-01:""EXAMPLE""",2017-01-01,"2017-10-01:""private"";
2019-11-01:""public""",,https://example.com,2017-10-01,"2017-10-01:525252;
2019-11-01:""FTE448""",2019-06-01,bankrupted,R,"2017-01-01:""Vilnius"";
2019-01-01:""Bucharest""","2017-01-01:""Lithuania"";
2019-01-01:""Romania""","2017-01-01:""Panama City"";
2018-01-01:""Road Town""","2017-01-01:""Panama"";
2018-01-01:""BVI""","2017-01-01:""United States"";
2019-01-01:""Germany""",Native,"2017-01-01:101001001,101011052,111211151;
2018-01-01:101001001,111211152;
2019-01-01:101001001,101011052,182602200","2017-10-01:""exchange, wallet in one place"";
2018-11-01:""investment fund""","2017-10-01:900;
2018-11-01:500",TRUE,Like it
10001,1BTCXE,2014-11-01,Private,@1btcxe,https://1btcxe.com,2014-01-01,,,,,Panama City,Panama,Panama City,Panama,Panama,Native,2014-01-01:101001000,"Bitcoin Exchange supporting over 30 fiat currencies through partnership with ""Crypto Capital""",,TRUE,
10002,1EX.Trade,2015-01-01,Private,@1extrade,https://1ex.trade/index.php,2015-01-01,,,,,Unidentified,Switzerland,Unidentified,Switzerland,Switzerland,Native,2015-01-01:101001000,Exchange,,TRUE,
10003,"2014-01-01 ""21 Inc."";
2018-04-01 ""earn.com""",2014-01-01,Private,@earndotcom,earn.com,2013-05-01,,2018-04-01,Acquired by Coinbase (as earn.com),A,"San Francisco, California",United States,"San Francisco, California",United States,United States,Native,2013-05-01:111301201,"2015-01-01 ""Microtask crypto payment platform""",,TRUE,
10004,247Exchange,2014-08-01,Private,,,2014-01-01,IFSC/60/310/IME/14.,,Not clear,R,Unidentified,Unidentified,Belize City,Belize,Belize,Native,2014-01-01:101011100,"2014-01-01 ""Multi-Coin Brokerage Services""",,TRUE,"""hey guys dont use this exchange i have lost 5K here no support no reply"""
10005,37coins,2013-12-01,Private,@37Coins,,2013-01-01,,2015-08-01,Failed to meet market demands and expectations,R,"Sunnyvale, California",United States,"Sunnyvale, California",United States,United States,Native,2013-01-01:121601500,"2013-01-01 ""SMS-Wallet; Remittances""",2015-01-01: 1-10,TRUE,
10006,99Bitcoins,2013-04-01,Private,@99BitcoinsHQ,https://99bitcoins.com/,2013-01-01,201843058E,,,,Tel Aviv,Israel,Singapore,Singapore,Singapore,Native,"2013-01-01:111311302,
2018-01-01:111311302, 193723801","Bitcoin Education & News, Marketing and advertising services related to cryptocurrenies (2018)",,TRUE,
10427,"2015-11-01:""Oraclize"";
2019-03-07:""Provable""
",2015-11-04,Private,@provablethings,http://provable.xyz/,2016-08-18,10334939,2019-05-09,Acquired by Poseidon Group,A,London,UK,Wimbledon,UK,England and Wales,Native,183423500,Provably-honest Oracles Service for smart contracts (Bitcoin and Ethereum),,TRUE,
10428,Orisi,2014-06-01,Private,,https://orisi.org/,2014-03-01,,2015-06-01,"Project is ""on pause"" for some years now",R,,Poland,,,,Native,183423500,Open-Source Distributed Oracle Service for smart contracts on Bitcoin,,TRUE,
10429,Pandora,2013-10-01,Private,,,,,2014-11-01,Exit Scam,R,,,,,,,111301203,Online Black Market,,TRUE,
10430,Paxful,2014-06-01,Private,@paxful,https://paxful.com/,2015-07-17,5786843,,,,New York,United States,"Wilmington, Delaware",United States,"Delaware, United States",Native,"2014-06-01:101011103
2016-04-01:101011103,111301200
2019-07-01:101011103,111301200,121611601","P2P Marketplace for Buying And Selling bitcoins; Payment Processor (but already discontinued in 2014/15), Merchant services (Pay with Paxful, April 2016), Mobile Wallet (Paxful Bitcoin Wallet App, July 2019)",2019-01-01:100,TRUE,"over 100 employees around the world with offices in New York City USA, Hong Kong, Tallinn Estonia and Manila Philippines"
