id,segment,description,s_id,category,c_id,subcategory,b_id
101001000,Exchange,Activities related to the exchange of cryptoassets for other assets,10,Trading,100,Order-book,1000
101001001,Exchange,Activities related to the exchange of cryptoassets for other assets,10,Trading,100,DEX relayer,1001
101001002,Exchange,Activities related to the exchange of cryptoassets for other assets,10,Trading,100,Market Making,1002
101001003,Exchange,Activities related to the exchange of cryptoassets for other assets,10,Trading,100,3rd Party Trading Services,1003
101001004,Exchange,Activities related to the exchange of cryptoassets for other assets,10,Trading,100,HFT services,1004
101011100,Exchange,Activities related to the exchange of cryptoassets for other assets,10,Intermediation & Brokerage,101,Brokerage services,1100
101011101,Exchange,Activities related to the exchange of cryptoassets for other assets,10,Intermediation & Brokerage,101,OTC services,1101
101021200,Exchange,Activities related to the exchange of cryptoassets for other assets,10,Other transaction processing,102,Bitcoin Teller Machines (BTM),1200
101021201,Exchange,Activities related to the exchange of cryptoassets for other assets,10,Other transaction processing,102,P2P marketplaces,1201
111301200,Payments,Activities concerning the use of cryptoassets for payments,11,Consumer payments,130,Merchant services,1200
111301201,Payments,Activities concerning the use of cryptoassets for payments,11,Consumer payments,130,Bill payments,1201
111301202,Payments,Activities concerning the use of cryptoassets for payments,11,Consumer payments,130,Spending - Proxy-buyer service,1202
111301203,Payments,Activities concerning the use of cryptoassets for payments,11,Consumer payments,130,Spending - Crypto-only marketplace,1203
111301204,Payments,Activities concerning the use of cryptoassets for payments,11,Consumer payments,130,Spending - Debit card,1204
111311300,Payments,Activities concerning the use of cryptoassets for payments,11,Cross-border payments,131,Payroll,1300
111311301,Payments,Activities concerning the use of cryptoassets for payments,11,Cross-border payments,131,B2B,1301
111311302,Payments,Activities concerning the use of cryptoassets for payments,11,Cross-border payments,131,Remittances,1302
111321400,Payments,Activities concerning the use of cryptoassets for payments,11,Other,132,M2M payments,1400
111321401,Payments,Activities concerning the use of cryptoassets for payments,11,Other,132,Micropayments,1401
121601500,Storage/Custody,Activities specifically relating to the secure storage of cryptoassets as a service,12,Third-party custody,160,Software wallets,1500
121601501,Storage/Custody,Activities specifically relating to the secure storage of cryptoassets as a service,12,Third-party custody,160,Vault services,1501
121611600,Storage/Custody,Activities specifically relating to the secure storage of cryptoassets as a service,12,Self-custody,161,Key management services (e.g. recovery),1600
121611601,Storage/Custody,Activities specifically relating to the secure storage of cryptoassets as a service,12,Self-custody,161,Software wallets,1601
121611602,Storage/Custody,Activities specifically relating to the secure storage of cryptoassets as a service,12,Self-custody,161,Hardware wallets,1602
121611603,Storage/Custody,Activities specifically relating to the secure storage of cryptoassets as a service,12,Self-custody,161,Paper wallets,1603
131901700,Consensus services ,Activities related to transaction ordering and processing at a given cryptoasset's base layer ,13,PoW mining,190,Hardware manufacturing - ASIC mining,1700
131901701,Consensus services ,Activities related to transaction ordering and processing at a given cryptoasset's base layer ,13,PoW mining,190,Hardware manufacturing - GPU mining,1701
131901702,Consensus services ,Activities related to transaction ordering and processing at a given cryptoasset's base layer ,13,PoW mining,190,Remote hosting services,1702
131901703,Consensus services ,Activities related to transaction ordering and processing at a given cryptoasset's base layer ,13,PoW mining,190,Cloud mining,1703
131901704,Consensus services ,Activities related to transaction ordering and processing at a given cryptoasset's base layer ,13,PoW mining,190,Proprietary hashing,1704
131901705,Consensus services ,Activities related to transaction ordering and processing at a given cryptoasset's base layer ,13,PoW mining,190,Pool operation,1705
131901706,Consensus services ,Activities related to transaction ordering and processing at a given cryptoasset's base layer ,13,PoW mining,190,Hardware procurement (resale),1706
131901707,Consensus services ,Activities related to transaction ordering and processing at a given cryptoasset's base layer ,13,PoW mining,190,Firmware development,1707
131911800,Consensus services ,Activities related to transaction ordering and processing at a given cryptoasset's base layer ,13,Staking,191,Proprietary (individual),1800
131911801,Consensus services ,Activities related to transaction ordering and processing at a given cryptoasset's base layer ,13,Staking,191,Staking-as-a-Service,1801
142201900,Alternative capital raising,Activities that provide access to capital to firms operating in the space,14,Token issuance (ICO),220,N/A,1900
142212000,Alternative capital raising,Activities that provide access to capital to firms operating in the space,14,Token sale hosting (IEO),221,N/A,2000
142222100,Alternative capital raising,Activities that provide access to capital to firms operating in the space,14,Initial lock offering (ILO),222,N/A,2100
152502200,Data & Analytics,"Activities related to the collection, aggregation, analysis, and dissemination of cryptoasset-focused data",15,Analytics,250,Blockchain forensics,2200
152502201,Data & Analytics,"Activities related to the collection, aggregation, analysis, and dissemination of cryptoasset-focused data",15,Analytics,250,Market surveillance,2201
152512300,Data & Analytics,"Activities related to the collection, aggregation, analysis, and dissemination of cryptoasset-focused data",15,Data services,251,Directories,2300
152512301,Data & Analytics,"Activities related to the collection, aggregation, analysis, and dissemination of cryptoasset-focused data",15,Data services,251,Market data,2301
152512302,Data & Analytics,"Activities related to the collection, aggregation, analysis, and dissemination of cryptoasset-focused data",15,Data services,251,Data aggregation,2302
152512303,Data & Analytics,"Activities related to the collection, aggregation, analysis, and dissemination of cryptoasset-focused data",15,Data services,251,Block explorers,2303
152512304,Data & Analytics,"Activities related to the collection, aggregation, analysis, and dissemination of cryptoasset-focused data",15,Data services,251,Network statistics,2304
152522400,Data & Analytics,"Activities related to the collection, aggregation, analysis, and dissemination of cryptoasset-focused data",15,Rating,252,N/A,2400
152532500,Data & Analytics,"Activities related to the collection, aggregation, analysis, and dissemination of cryptoasset-focused data",15,Research,253,Industry,2500
152532501,Data & Analytics,"Activities related to the collection, aggregation, analysis, and dissemination of cryptoasset-focused data",15,Research,253,Academia,2501
162802600,"Media, Events & Entertainment",Activities related to the provision of news and other informational services regarding cryptoasset networks and the surrounding ecosystem,16,Social media,280,Forums,2600
162812700,"Media, Events & Entertainment",Activities related to the provision of news and other informational services regarding cryptoasset networks and the surrounding ecosystem,16,News,281,Online newspaper,2700
162812701,"Media, Events & Entertainment",Activities related to the provision of news and other informational services regarding cryptoasset networks and the surrounding ecosystem,16,News,281,TV,2701
162812702,"Media, Events & Entertainment",Activities related to the provision of news and other informational services regarding cryptoasset networks and the surrounding ecosystem,16,News,281,Radio,2702
162822800,"Media, Events & Entertainment",Activities related to the provision of news and other informational services regarding cryptoasset networks and the surrounding ecosystem,16,Entertainment,282,Shows,2800
162822801,"Media, Events & Entertainment",Activities related to the provision of news and other informational services regarding cryptoasset networks and the surrounding ecosystem,16,Entertainment,282,Events,2801
162822802,"Media, Events & Entertainment",Activities related to the provision of news and other informational services regarding cryptoasset networks and the surrounding ecosystem,16,Entertainment,282,Gaming,2802
162822803,"Media, Events & Entertainment",Activities related to the provision of news and other informational services regarding cryptoasset networks and the surrounding ecosystem,16,Entertainment,282,Media,2803
162822804,"Media, Events & Entertainment",Activities related to the provision of news and other informational services regarding cryptoasset networks and the surrounding ecosystem,16,Entertainment,282,Collectible Production,2804
162822805,"Media, Events & Entertainment",Activities related to the provision of news and other informational services regarding cryptoasset networks and the surrounding ecosystem,16,Entertainment,282,Gambling,2805
173103000,Banking & Insurance,Activities related to the provision of financial services using cryptoasset networks and/or tokens,17,Lending,310,Lending/Borrowing,3000
173103001,Banking & Insurance,Activities related to the provision of financial services using cryptoasset networks and/or tokens,17,Lending,310,Credit,3001
173103002,Banking & Insurance,Activities related to the provision of financial services using cryptoasset networks and/or tokens,17,Lending,310,Margin lending,3002
173113100,Banking & Insurance,Activities related to the provision of financial services using cryptoasset networks and/or tokens,17,Savings,311,Interest-bearing account,3100
173123200,Banking & Insurance,Activities related to the provision of financial services using cryptoasset networks and/or tokens,17,Insurance,312,N/A,3200
183403300,Infrastructure,"Activities related to the design, development, and maintenance of the codebases of cryptoasset networks and related applications ",18,Project maintenance,340,Sub-segment protocols/construction,3300
183403301,Infrastructure,"Activities related to the design, development, and maintenance of the codebases of cryptoasset networks and related applications ",18,Project maintenance,340,Application development,3301
183403302,Infrastructure,"Activities related to the design, development, and maintenance of the codebases of cryptoasset networks and related applications ",18,Project maintenance,340,Main chain maintenance,3302
183403303,Infrastructure,"Activities related to the design, development, and maintenance of the codebases of cryptoasset networks and related applications ",18,Project maintenance,340,Cross-chain project ,3303
183413400,Infrastructure,"Activities related to the design, development, and maintenance of the codebases of cryptoasset networks and related applications ",18,Cybersecurity,341,Security auditing,3400
183423500,Infrastructure,"Activities related to the design, development, and maintenance of the codebases of cryptoasset networks and related applications ",18,Oracle,342,Software oracle,3500
183423501,Infrastructure,"Activities related to the design, development, and maintenance of the codebases of cryptoasset networks and related applications ",18,Oracle,342,Hardware oracle,3501
183423502,Infrastructure,"Activities related to the design, development, and maintenance of the codebases of cryptoasset networks and related applications ",18,Oracle,342,Consensus-based oracle,3502
