id,name,edate,ctype,twitter,link,incdate,incnum,cdate,creason,creasonx,ophqcity,ophq,leghqcity,leghq,arbjur,cryptonative,classifier,description,fte,verified,comments
10001,1BTCXE,01/01/2012,Private,@1btcxe,https://1btcxe.com,,,,,A,Panama City,Panama,Panama City,Panama,Panama,Native,"101001001,101011101","Bitcoin Exchange supporting over 30 fiat currencies through partnership with ""Crypto Capital""",,TRUE,
10002,1EX.Trade,08/01/2016,Private,@1extrade,https://1ex.trade/index.php,,,,,,Unidentified,Switzerland,Unidentified,Switzerland,Switzerland,Native,"101001001,101011101",Exchange,,TRUE,
10003,"2014-01-01:""21 Inc."";
2018-04-01:""earn.com""",01/01/2013,Private,@earndotcom,earn.com,01/05/2013,,01/04/2018,Acquired by Coinbase (as earn.com),A,"San Francisco, California",United States,"San Francisco, California",United States,United States,Native,2014-01-01:111301201,"2015-01-01 ""Microtask crypto payment platform""",,TRUE,
10004,247Exchange,01/08/2014,Private,,https://www.247exchange.com/?rId=42128,01/01/2014,IFSC/60/310/IME/14.,,Not clear,R,Unidentified,Unidentified,Belize City,Belize,Belize,Native,2014-01-01:101011100,"2014-01-01 ""Multi-Coin Brokerage Services""",,TRUE,"""hey guys dont use this exchange i have lost 5K here no support no reply"""
10005,37coins,01/12/2013,Private,@37Coins,,27/08/2015,,16/12/2016,Failed to meet market demands and expectations,R,"Sunnyvale, California",United States,"Sunnyvale, California",United States,United States,Native,2013-01-01:121601500,"""Avalon"" Mining Hardware; Cloud Mining",2015-01-01:10,TRUE,
10006,99Bitcoins,01/04/2013,Private,@99BitcoinsHQ,https://99bitcoins.com/,01/01/2013,201843058E,,,,Tel Aviv,Israel,Singapore,Singapore,Singapore,Native,"2013-01-01:111311302;
2018-01-01:111311302,193723801","Bitcoin Education & News, Marketing and advertising services related to cryptocurrenies (2018)",,TRUE,
10007,Abra,01/03/2015,Private,@AbraGlobal,https://www.abra.com,01/01/2014,,,,,"2015-03-01:""Saratoga, California"";
2015-01-01:""Mountain View, California""",United States,"2015-03-01:""Saratoga, California"";
2015-01-01:""Mountain View, California""",United States,United States,Native,"2015-03-01:111311302;
2019-05-29:111311302,101011100","P2P Money Transfer Platform (Remittances) with Bitcoin as back-end (users don't know they're using bitcoins), Mobile App that enables trading equities with crypto.",,TRUE,Parent company: Plutus Technologies Philippines Corporation (Abra International)
10008,Abraxas Market,01/01/2015,Private,@abraxas_market,,01/01/2015,,01/11/2015,"Apparently under heavy DDoS attacks, has not reappeared since.",R,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Native,2015-01-01:101011103,"2015-01-01 ""Online Black Marketplace""",,TRUE,"""Abraxas Marketplace is the biggest and the most reliable darknet/deepweb anonymous marketplace at the moment. There you can buy legal or illegal things like drugs, guns, fake money, etc. and receive them at your home by post. The buying process is completely anonymous cause of using the anonymous Tor Browser and paying by internet currency Bitcoin."""
10009,Acacia Trading,01/07/2014,Private,,https://www.tradeacacia.com/,01/01/2014,C3693159,01/01/2017,Discontinued as a paid service and made open source.,R,"Menlo Park, California",United States,"Menlo Park, California",United States,United States,Native,2014-01-01:101001003,"2014-07-01 ""Bitcoin Trading Bot""",2014-01-01:10,,
10010,Agora,01/01/2013,Private,,,01/01/2013,,01/08/2015,"""Temporarily shut down"", but not opened since",R,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Native,2013-01-01:101011103,"2013-01-01 ""Online Black Marketplace""",,TRUE,
